index,title,description,difficulty,certificate_available,students_count,price,rating,reviews_count,source,course
82541,"""Поколение Python"": курс для профессионалов","Курс продолжает серию ""Поколение Python"" и рассказывает о дополнительных возможностях языка Python, а тренировочные задачи помогают закрепить каждую тему.",Продвинутый уровень,True,15164,7900,5.0,1647,stepik,Python
189436,Асинхронность в Python: от новичка до эксперта,"Курс для тех, кто хочет не просто «пользоваться», а «понимать»! Глубокое погружение в асинхронное программирование на Python через практику: от основ до профессионального уровня, от простых задач к сложным сценариям. 🏆 От лауреата Stepik Awards.",Средний уровень,True,607,3700,5.0,16,stepik,Python
52054,Полный курс Python для начинающих + ООП,"Полный курс Python для начинающих с задачами. Обучение языку Python по коротким видео-урокам с большим количеством практики на тренажере. На курсе вы познакомитесь не только с основами языка, но и научитесь программировать. На курсе рассматривается Python 3 (третье поколение Python).",Начальный уровень,True,944,4790,4.6,36,stepik,Python
234245,Лучший по Python,"Самый интересный курс для тех, кто хочет начать программировать! Курс уникален по 5 причинам: 1. Захватывающий сюжет. 2. Всё обучение — в форме диалога! 3. Все задачи взяты из реальной жизни! 4. В курсе нет сложной математики и непонятной теории! 5. Такого или похожего курса не существует :)",Начальный уровень,False,191,4300,5.0,5,stepik,Python
190099,Многопроцессорный Python,"Курс проведёт вас от основ до эксперта в многопроцессорном программировании. Курс от двукратного лауреата премии🏆Stepik Awards в престижных номинациях: 🥇""Прорыв Года"" и 🥇""Лучший платный курс"". Курс содержит все что вам нужно знать о multiprocessing в python.",Начальный уровень,True,800,2900,4.9,26,stepik,Python
130664,"Полный Курс Python 3: от Новичка до Мастера (Питон, Пайтон)",Для начинающих и не только! Базовый + Продвинутый Курс Python. Начните с нуля и пройдите путь до специалиста по Python. 🔥Оперативная поддержка автора!🔥,Начальный уровень,True,3523,500,4.8,85,stepik,Python
173184,Практический Тренажер по Python,"Курс включает в себя разнообразные практические задачи по программированию, которые помогут улучшить ваш уровень программирования на Python. Вы столкнетесь как с классическими задачами, так и с теми, которые встречаются на собеседованиях в таких крупных компаниях, как Google, Amazon, Apple, Twitter и Microsoft. Это позволит вам разносторонне развить навыки работы с переменными, типами данных, условными конструкциями, циклами, функциями и различными алгоритмами.",Средний уровень,True,1155,1299,4.5,15,stepik,Python
114837,Основы Python для исследований и анализа данных,"Данный курс предназначен для тех, кто никогда не сталкивался с данными или с программированием. Но также он будет полезен для тех, кто занимается исследованиями в социально-гуманитарных дисциплинах.",Начальный уровень,True,689,3500,5.0,10,stepik,Python
134773,Программирование на Python с Нуля + Работа с SQL — Stepik,"ДОМАШНИЕ ЗАДАНИЯ ПРОВЕРЯЮТСЯ ЛИЧНО АВТОРОМ + более 250 задач на программирование и тестов! Данный курс подходит для тех, кто желает изучить программирование на Python 3, работу с базами данных и SQL-запросами! Так же он подойдет для тех кто уже работает разработчиком, тестировщиком или в сфере IT и планирует сменить направление.",Начальный уровень,False,9094,3144,5.0,60,stepik,Python
193773,Курс Python-разработчик с Нуля до Open Source:Линтеры.Git.Github,"3 часа видео-лекции! 👍 Оперативная поддержка автора!🔥 200 заданий на практику 🏆 Этот курс - лучший способ начать с нуля и стать специалистом в Python и Github! Курс подойдёт ДЛЯ ВСЕХ кто пишет на Python с Нуля,включая Data Sciene и ML-engineer,Машинное обучение. Я собрал в нём весь свой семилетний опыт работы.  В 2025 году изучение python с нуля требует установки линтеров, например Pylint,black,mypy, а так же знаний Github и open source, CI/CD. 🔥 Почитайте отзывы и записывайтесь!",Начальный уровень,True,96,1890,4.9,15,stepik,Python
104774,WEB Парсинг на Python,"Курс победитель🥇Stepik Awards в номинации ""Прорыв года"" Практический курс синхронного и асинхронного веб-парсинга на Python, потренируетесь собирать информацию c веб-cайтов и Telegram чатов, а в модуле Selenium научитесь автоматизировать действия в браузере, и обходить captcha. Не упустите свой шанс стать частью нашего сообщества. Запишитесь на курс уже сегодня и начните свое путешествие в мир парсинга на Python!",Средний уровень,True,5087,4900,4.9,166,stepik,Python
170777,Асинхронный Python,"Курс победитель 🏆Stepik Awards в номинации ""Лучший платный курс"". Курс содержит всё, что вам нужно знать о asyncio в Python, от основ до продвинутых тем. Вы получите доступ к обширному набору материалов и задач, которые постоянно обновляются и дополняются, чтобы оставаться актуальными и полезными.   Не упустите свой шанс стать частью нашего сообщества. Запишитесь на курс уже сегодня и начните свое путешествие в мир асинхронного Python!",Начальный уровень,True,3841,3900,4.8,172,stepik,Python
182023,Осознанный Python — ООП,"Погружайтесь в мир Объектно-Ориентированного Программирования с нашим увлекательным курсом на языке Python! Легко усваивайте материал благодаря простым объяснениям, множеству практических примеров и интересных заданий. Ощутите поддержку автора и наслаждайтесь уникальной сюжетной линией, которая поднимет настроение даже в сложные моменты. Вас ждет ""ламповая"" атмосфера тепла и доброты, которая сделает обучение не только полезным, но и приятным. Присоединяйтесь и начните свое путешествие в ООП уже сегодня!",Средний уровень,True,2077,1000,4.9,171,stepik,Python
98974,"""Поколение Python"": ООП","Курс продолжает серию ""Поколение Python"" и рассказывает о концепции объектно-ориентированного программирования на языке Python",Средний уровень,True,8011,7900,4.9,736,stepik,Python
100575,"""Поколение Python"": алгоритмы и структуры данных для начинающих","Курс включает такие темы, как анализ алгоритмов, алгоритмы поиска и сортировки, методы оптимизации, задачи с матрицами, системы счисления, математические алгоритмы и структуры данных. Он подходит как начинающим, так и продвинутым программистам, которые хотят улучшить свои знания и прорешать много задач. В курсе есть тестовые алгоритмические собеседования, которые помогут оценить свой уровень подготовки и потренироваться в решении задач разной сложности в условиях, приближенных к реальным.",Начальный уровень,True,2029,7900,5.0,53,stepik,Python
172356,Многопоточность в Python: от новичка до эксперта,"Все о многопоточном программировании на Python: от основ работы с потоками и пулами до современных возможностей Python 3.14. Освойте субинтерпретаторы и free-threaded сборки, чтобы добиться настоящего параллелизма в ваших приложениях. 🏆 Исчерпывающий и актуальный курс по поточной многозадачности от лауреата премии Stepik Awards.",Средний уровень,True,1960,3200,5.0,108,stepik,Python
190100,Многопоточный Python,"Курс от двукратного лауреата премии🏆Stepik Awards в престижных номинациях: 🥇""Прорыв Года"" и 🥇""Лучший платный курс"". Курс содержит всё что вам необходимо знать о multithreading в python, от простых до продвинутых тем. Запишитесь сегодня, чтобы уже завтра начать использовать многопоточность в своих приложениях.",Начальный уровень,True,1737,2900,4.9,48,stepik,Python
103603,Шаблоны проектирования на Python — Stepik,Курс даёт всеобъемлющий обзор GoF паттернов (шаблонов) проектирования на практике на языке программирования Python.,,False,1251,1990,3.4,10,stepik,Python
237150,"Игра ""Змейка"" за час: Python + Tkinter (GUI)",Создайте свою игру на Python всего за 1 час! В этом курсе вы шаг за шагом разработаете классическую игру «Змейка» — отличный проект для вашего портфолио!,Средний уровень,True,1101,350,5.0,49,stepik,Python
