№,Код АТЕ,Код ОО,Наименование образовательной организации согласно Уставу образовательной организации ,Сокращенное наименование образовательной организации согласно Уставу образовательной организации  ,
1,201,201000,Управление образования администрации Александрово-Гайского муниципального района Саратовской области,Управление образования администрации Александрово-Гайского муниципального района Саратовской области,
2,201,201010,Муниципальное бюджетное учреждение дополнительного образования «Центр Детского Творчества» с. Александров-Гай Александрово-Гайского муниципального района Саратовской области,МБУ ДО «Центр Детского Творчества» с.Александров-Гай Александрово-Гайского муниципального района Саратовской области,
3,201,201020,Муниципальное бюджетное учреждение дополнительного образования «Спортивная школа» с. Александров-Гай Александрово-Гайского муниципального района Саратовской области,"МБУ ДО «СШ»
с.Александров-Гай ",
4,201,201030,государственное бюджетное учреждение дополнительного образования «Детская школа искусств с. Александров Гай» Александрово- Гайского муниципального района Саратовской области,"ГБУ ДО «ДШИ
с. Александров Гай» Александрово- Гайского муниципального района Саратовской области",
5,201,201011,Муниципальное бюджетное дошкольное образовательное учреждение детский сад «Малыш» с. Александров-Гай Александрово-Гайского муниципального района Саратовской области,"МБДОУ детский сад «Малыш» 
",
6,201,201031,Муниципальное бюджетное дошкольное образовательное учреждение детский сад «Колосок» с. Александров-Гай Александрово-Гайского муниципального района Саратовской области,"МБДОУ детский сад «Колосок» 
с. Александров-Гай",
7,201,201051,Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад «Пчелка»» с.Александров-Гай Александрово-Гайского муниципального района Саратовской области,"МБДОУ «Детский сад «Пчелка»» 
с. Александров-Гай Саратовской области",
8,201,201061,Муниципальное бюджетное дошкольное образовательное учреждение детский сад «Улыбка» с. Новоалександровка Александрово-Гайского муниципального района Саратовской области,МБДОУ детский сад «Улыбка»,
9,201,201121,Муниципальное бюджетное дошкольное образовательное учреждение детский сад «Теремок» с. Александров-Гай Александрово-Гайского муниципального района Саратовской области,МБДОУ детский сад «Теремок»                    с. Александров-Гай Саратовской области,
10,201,201131,Муниципальное бюджетное дошкольное образовательное учреждение детский сад «Карусель» с. Александров-Гай Александрово-Гайского муниципального района Саратовской области,МБДОУ детский сад «Карусель»                    с. Александров-Гай Саратовской области,
11,201,201013,Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №1 с.Александров-Гай Александрово-Гайского муниципального района Саратовской области,МБОУ СОШ №1 с. Александров-Гай Александрово-Гайского муниципального района Саратовской области ,
12,201,201023,Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №2 с.Александров-Гай Александрово-Гайского муниципального района Саратовской области,МБОУ СОШ №2 с.Александров-Гай Александрово-Гайского муниципального района Саратовской области,
13,201,201033,Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 3 с. Александров-Гай Александрово-Гайского муниципального района Саратовской области,МБОУ СОШ № 3 с. Александров-Гай Александрово-Гайского муниципального района Саратовской области,
