Код района,Район,Расстояние до Саратова
201,Алгайский,265
202,Аркадакский,239
203,Аткарский,106
204,Базарно-Карабулакский,103
205,Балаковский,163
206,Балашовский,211
207,Балтайский,138
208,Вольский,149
210,Дергачевский,224
212,Екатериновский,154
213,Ершовский,180
214,Ивантеевский,272
216,Красноармейский,79
219,Лысогорский,91
220,Марксовский,63
221,Новобурасский,77
223,Озинский,294
224,Перелюбский,348
225,Петровский,109
227,Пугачевский,233
228,Ровенский,104
230,Ртищевский,208
232,Саратовский,10
233,Советский,82
234,Татищевский,50
235,Турковский,264
236,Федоровский,122
238,Энгельский,11
240,ЗАТО Светлый,50
241,Саратов ,0
242,Октябрьский,0
243,Волжский,0
244,Фрунзенский,0
245,Кировский,0
246,Ленинский,0
247,Заводской,0
209,Воскресенский ,112
215,Калининский,117
217,Краснокутский,125
218,Краснопартизанский,227
222,Новоузенский,213
226,Питерский,170
229,Романовский,253
231,Самойловский,193
237,Хвалынский,232
248,ЗАТО Михайловский,225
